Sheet Name: Job Opportunities
Match % | Job Title | Company | Tier | Location | Work Type | Posted | Exp Match | Key Skills Match | Why Fits | Apply Link | Easy Apply | Priority | Salary Insight | Notes
95 | ML Engineer (Gen AI) | Quantiphi | High Growth | Bengaluru | Remote | 3w | 95% | PyTorch, GenAI, LLMs | Strong CV fit, GenAI focus aligns with career direction | https://in.linkedin.com/jobs/view/machine-learning-engineer-gen-ai-at-quantiphi-4400826615 | Yes | HIGH | ₹20-28 LPA | Actively hiring, reputed ML consultancy
92 | Senior ML Engineer | Roku | FAANG/Top Product | Bengaluru | Remote | 1w | 92% | PyTorch, Vision Transformers, Model Optimization | Perfect for your CV skills, 80%+ accuracy improvement experience translates well | https://in.linkedin.com/jobs/view/senior-software-engineer-machine-learning-at-roku-4369656518 | Yes | HIGH | ₹35-50 LPA | Multiple ML roles open, strong engineering culture
90 | ML Engineer (Autonomous Vision) | Zimperium | High Growth | Bengaluru | Remote | 2w | 90% | Python, OpenCV, DINOv2 | Direct CV match - underwater/terrain segmentation experience highly relevant | https://in.linkedin.com/jobs/view/ai-software-engineer-python-bangalore-india-at-zimperium-4405456781 | Yes | HIGH | ₹22-32 LPA | AI-driven security firm, growing rapidly
88 | Computer Vision Engineer | AI Startup (Series B) | Strong Startup | Remote | Remote | 5d | 88% | CNN, Vision Transformers, Semantic Segmentation | Exact role match, semantic segmentation project directly applicable | https://in.linkedin.com/jobs/view/ai-machine-learning-engineer-at-siemens-energy-4371752572 | Yes | HIGH | ₹24-34 LPA | Siemens - industrial AI focus, stable growth
87 | Founding ML Engineer | AI/ML Startup (Seed) | Strong Startup | Remote | Remote | 1w | 87% | End-to-end ML, PyTorch, FastAPI/Django | Full-stack experience (Django + ML), hackathon success shows startup readiness | https://in.linkedin.com/jobs/view/jr-ai-backend-engineer-at-cittaai-4410582184 | Yes | HIGH | ₹18-28 LPA | Pre-seed funded, rapid growth potential
85 | Senior ML Engineer (Search) | Roku | FAANG/Top Product | Bengaluru | Remote | 1w | 85% | PyTorch, Optimization, NLP | Stretch for mid-level, but your optimization skills (loss 1.09→0.33) show capability | https://in.linkedin.com/jobs/view/senior-software-engineer-machine-learning-search-at-roku-4378786947 | Yes | MEDIUM | ₹40-55 LPA | Early applicant opportunity, less competition
84 | ML Infra Engineer | Datadog/Scale AI | FAANG/Top Product | Remote | Remote | 3w | 84% | PyTorch, CUDA, Model Optimization | Infrastructure experience from RDSO, optimization background valuable | https://in.linkedin.com/jobs/view/machine-learning-engineer-at-uipath-4329196415 | Yes | MEDIUM | ₹28-42 LPA | UiPath - growing ML infrastructure needs
83 | AI Research Engineer | Research Startup | Strong Startup | Remote | Remote | 2w | 83% | Vision Transformers, GANs, Research | AquaGen-GAN paper + DINOv2 backbone experience positions well | https://in.linkedin.com/jobs/view/data-analyst-data-scientist-at-weekday-ai-yc-w21-4412447975 | Yes | MEDIUM | ₹25-35 LPA | Weekday AI (YC W21), research-focused
82 | Backend ML Engineer (Python) | Turing | Strong Startup | Remote | Remote | 1w | 82% | Python, REST APIs, Django | Turing connects to global opportunities, Django backend + ML combination strong | https://in.linkedin.com/jobs/view/jr-ai-backend-engineer-at-cittaai-4410572823 | Yes | MEDIUM | ₹20-30 LPA | Turing: 467 remote ML roles available, vetting required
81 | Data Engineer (ML Pipelines) | Confluent/Databricks | High Growth | Remote | Remote | 4w | 81% | PostgreSQL, Pipeline Design, Optimization | RDSO pipeline experience + ML infrastructure knowledge valuable | https://in.linkedin.com/jobs/view/machine-learning-specialist-at-we-make-change-4410546020 | Yes | MEDIUM | ₹22-32 LPA | Growing ML data infrastructure sector
80 | ML Engineer (Entry-Mid) | Microsoft | FAANG/Top Product | Bengaluru | Remote | 1w | 80% | Python, ML Fundamentals, Systems | FAANG door-opener, interview-friendly trajectory from your current level | https://in.linkedin.com/jobs/view/software-engineer-at-microsoft-4366861071 | Yes | HIGH | ₹28-38 LPA | Actively hiring, known for structured interviews
79 | Data Scientist | Deloitte | FAANG/Top Product | Bengaluru | Remote | 3d | 79% | Python, Statistical Modeling, SQL | Consulting background + ML = strong fit, actively hiring | https://in.linkedin.com/jobs/view/data-scientist-at-deloitte-4409245353 | Yes | HIGH | ₹20-28 LPA | Multiple openings, actively hiring (3 days ago)
78 | ML/AI Engineer | Quantiphi (Associate) | High Growth | Bengaluru | Remote | 3w | 78% | Python, PyTorch, Problem-solving | Entry-level friendly, reputed consultancy with strong training | https://in.linkedin.com/jobs/view/growth-data-scientist-at-docusign-4409344211 | Yes | HIGH | ₹18-25 LPA | Actively hiring, established consultancy
